TEST Match No,Match ID,Match Name,Series ID,Series Name,Match Start Date,Match End Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Innings1 Team1 Runs Scored,Innings1 Team1 Wickets Fell,Innings1 Team1 Extras Rec,Innings2 Team1 Runs Scored,Innings2 Team1 Wickets Fell,Innings2 Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Innings1 Team2 Runs Scored,Innings1 Team2 Wickets Fell,Innings1 Team2 Extras Rec,Innings2 Team2 Runs Scored,Innings2 Team2 Wickets Fell,Innings2 Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
2425,1249875,India Vs New Zealand Final,1195334,ICC World Test Championship  - 2019 (2019-2021),2021-06-18,2021-06-23,TEST,6,India,49752,217,10,5,170.0,10.0,11.0,5,New Zealand,51088,249.0,10.0,26.0,140.0,2.0,13.0,The Rose Bowl,Southampton,England,MA Gough,RK Illingworth,BC Broad,New Zealand,bowl,New Zealand,New Zealand won by 8 wickets,70691.0,"['48405', '95316', '17752', '49752', '51096', '86165', '49247', '12894', '49327', '70640', '63646']","['59148', '58403', '51088', '44930', '66842', '47492', '47231', '70691', '49108', '49219', '51092']",[]
2428,1239543,England Vs India 1St Test,1268315,India tour of England  - 2021 (2021-2022),2021-08-04,2021-08-08,TEST,1,England,52656,183,10,13,303.0,10.0,23.0,6,India,49752,278.0,10.0,20.0,52.0,1.0,2.0,Trent Bridge,Nottingham,England,MA Gough,RA Kettleborough,BC Broad,England,bat,,Match drawn,52656.0,"['59611', '65480', '72167', '52656', '52161', '71305', '53271', '72103', '66104', '48440', '10829']","['48405', '60530', '17752', '49752', '51096', '86165', '49247', '63477', '63646', '70640', '87477']",[]
2429,1239544,England Vs India 2Nd Test,1268315,India tour of England  - 2021 (2021-2022),2021-08-12,2021-08-16,TEST,6,India,49752,364,10,15,298.0,8.0,15.0,1,England,52656,391.0,10.0,33.0,120.0,10.0,29.0,Lord's,London,England,MA Gough,RK Illingworth,BC Broad,England,bowl,India,India won by 151 runs,60530.0,"['48405', '60530', '17752', '49752', '51096', '86165', '49247', '63646', '49327', '70640', '87477']","['59611', '65480', '70952', '52656', '52161', '53271', '46597', '72103', '66104', '56993', '10829']",[]
2432,1239545,England Vs India 3Rd Test,1268315,India tour of England  - 2021 (2021-2022),2021-08-25,2021-08-28,TEST,6,India,49752,78,10,16,278.0,10.0,15.0,1,England,52656,432.0,10.0,21.0,,,,Headingley,Leeds,England,AG Wharf,RA Kettleborough,BC Broad,India,bat,England,England won by an innings and 76 runs,66104.0,"['48405', '60530', '17752', '49752', '51096', '86165', '49247', '63646', '49327', '70640', '87477']","['59611', '70952', '49309', '52656', '52161', '53271', '46597', '72103', '62701', '66104', '10829']",[]
2433,1239546,England Vs India 4Th Test,1268315,India tour of England  - 2021 (2021-2022),2021-09-02,2021-09-06,TEST,6,India,49752,191,10,8,466.0,10.0,9.0,1,England,52656,290.0,10.0,23.0,210.0,10.0,14.0,Kennington Oval,London,England,AG Wharf,RK Illingworth,BC Broad,England,bowl,India,India won by 157 runs,48405.0,"['48405', '60530', '17752', '49752', '49247', '51096', '86165', '63477', '58274', '70640', '87477']","['59611', '70952', '49309', '52656', '62701', '83357', '52161', '46597', '49496', '66104', '10829']",[]
2435,1278674,India Vs New Zealand 1St Test,1268315,New Zealand in India  - 2021 (2021/22),2021-11-25,2021-11-29,TEST,6,India,51096,345,10,12,234.0,7.0,4.0,5,New Zealand,51088,296.0,10.0,16.0,165.0,9.0,17.0,Green Park,Kanpur,India,Nitin Menon,VK Sharma,J Srinath,India,bat,,Match drawn,71331.0,"['59599', '95316', '17752', '51096', '71331', '49247', '51216', '12894', '67455', '58274', '49327']","['59148', '67178', '51088', '44930', '66842', '61839', '89105', '70691', '49108', '48432', '69539']","['89105', '71331']"
2438,1278675,India Vs New Zealand 2Nd Test,1268315,New Zealand in India  - 2021 (2021/22),2021-12-03,2021-12-06,TEST,6,India,49752,325,10,18,276.0,7.0,10.0,5,New Zealand,59148,62.0,10.0,3.0,167.0,10.0,12.0,Wankhede Stadium,Mumbai,India,AK Chaudhary,Nitin Menon,J Srinath,India,bat,India,India won by 372 runs,59599.0,"['59599', '95316', '17752', '49752', '71331', '51216', '12894', '67455', '62051', '58274', '87477']","['59148', '67178', '58772', '44930', '66842', '61839', '89105', '70691', '49108', '48432', '69539']",[]
2443,1277079,South Africa Vs India 1St Test,1268315,India in South Africa  - 2021 (2021/22),2021-12-26,2021-12-30,TEST,6,India,49752,327,10,19,174.0,10.0,27.0,3,South Africa,49044,197.0,10.0,11.0,191.0,10.0,7.0,SuperSport Park,Centurion,South Africa,AT Holdstock,M Erasmus,AJ Pycroft,India,bat,India,India won by 113 runs,60530.0,"['60530', '59599', '17752', '49752', '51096', '86165', '12894', '63477', '63646', '70640', '87477']","['49044', '70277', '63897', '55398', '58190', '58406', '74351', '73871', '67296', '50309', '66941']",['73871']
2445,1277080,South Africa Vs India 2Nd Test,1268315,India in South Africa  - 2021 (2021/22),2022-01-03,2022-01-06,TEST,6,India,60530,202,10,16,266.0,10.0,33.0,3,South Africa,49044,229.0,10.0,16.0,243.0,3.0,25.0,The Wanderers Stadium,Johannesburg,South Africa,A Paleker,M Erasmus,AJ Pycroft,India,bat,South Africa,South Africa won by 7 wickets,49044.0,"['60530', '59599', '17752', '51096', '62182', '86165', '12894', '63477', '63646', '70640', '87477']","['49044', '70277', '63897', '55398', '58190', '69377', '73871', '67296', '50309', '63992', '66941']",[]
2448,1277081,South Africa Vs India 3Rd Test,1268315,India in South Africa  - 2021 (2021/22),2022-01-11,2022-01-14,TEST,6,India,49752,223,10,13,198.0,10.0,28.0,3,South Africa,49044,210.0,10.0,18.0,212.0,3.0,11.0,Newlands,Cape Town,South Africa,AT Holdstock,M Erasmus,AJ Pycroft,India,bat,South Africa,South Africa won by 7 wickets,63897.0,"['60530', '59599', '17752', '49752', '51096', '86165', '12894', '63477', '70640', '58274', '63646']","['49044', '70277', '50309', '63897', '55398', '58190', '69377', '73871', '67296', '63992', '66941']",[]
